frame_idx,time_s,class_name,conf,x1,y1,x2,y2,X_m,Y_m,Z_m,distance_m
0,0.0,sports ball,0.829,716.09,197.27,747.29,229.12,0.58,-1.053,6.368,6.481
1,0.033,sports ball,0.829,715.75,197.38,747.18,229.34,0.577,-1.049,6.35,6.462
2,0.067,sports ball,0.833,715.77,197.35,746.99,228.87,0.578,-1.053,6.368,6.48
3,0.1,sports ball,0.835,715.68,197.34,747.03,228.88,0.579,-1.055,6.376,6.488
4,0.133,sports ball,0.835,715.64,197.35,747.01,228.71,0.579,-1.056,6.383,6.496
5,0.167,sports ball,0.836,715.62,197.24,746.93,228.49,0.58,-1.06,6.398,6.511
6,0.2,sports ball,0.839,715.76,197.36,746.91,228.5,0.581,-1.06,6.4,6.514
7,0.233,sports ball,0.843,715.66,197.38,746.82,228.74,0.581,-1.062,6.417,6.53
8,0.267,sports ball,0.843,715.67,197.32,746.86,228.61,0.582,-1.063,6.421,6.535
9,0.3,sports ball,0.846,715.67,197.34,746.91,228.62,0.582,-1.063,6.421,6.535
10,0.333,sports ball,0.845,715.71,197.33,747.01,228.53,0.583,-1.064,6.422,6.536
11,0.367,sports ball,0.851,715.73,197.35,747.0,228.57,0.583,-1.063,6.422,6.536
12,0.4,sports ball,0.847,717.13,197.91,746.82,228.45,0.587,-1.062,6.423,6.537
13,0.433,sports ball,0.847,716.84,197.88,746.79,228.49,0.586,-1.062,6.423,6.537
14,0.467,sports ball,0.847,716.89,197.99,746.77,228.53,0.605,-1.095,6.628,6.745
15,0.5,sports ball,0.848,716.97,197.91,746.84,228.46,0.607,-1.098,6.644,6.762
16,0.533,sports ball,0.849,716.72,197.9,746.84,228.5,0.606,-1.098,6.644,6.761
17,0.567,sports ball,0.853,716.48,197.81,746.79,228.38,0.603,-1.096,6.628,6.745
18,0.6,sports ball,0.853,716.83,197.68,746.74,228.09,0.606,-1.101,6.644,6.762
19,0.633,sports ball,0.856,717.16,197.72,747.0,228.22,0.608,-1.1,6.644,6.762
20,0.667,sports ball,0.856,717.21,197.84,747.08,228.16,0.609,-1.101,6.652,6.77
21,0.7,sports ball,0.857,716.68,197.96,746.79,228.38,0.606,-1.1,6.652,6.77
22,0.733,sports ball,0.86,716.35,197.84,746.84,228.45,0.605,-1.1,6.652,6.77
23,0.767,sports ball,0.861,716.21,197.83,746.74,228.12,0.603,-1.098,6.633,6.75
24,0.8,sports ball,0.859,716.26,197.9,746.62,228.16,0.601,-1.096,6.622,6.739
25,0.833,sports ball,0.861,716.43,197.95,746.67,228.09,0.602,-1.096,6.622,6.739
26,0.867,sports ball,0.862,716.35,197.96,746.6,228.12,0.602,-1.096,6.622,6.739
27,0.9,sports ball,0.861,716.37,197.96,746.64,228.02,0.604,-1.1,6.645,6.762
28,0.933,sports ball,0.858,716.83,197.95,746.73,228.14,0.606,-1.1,6.648,6.766
29,0.967,sports ball,0.854,716.84,198.26,746.74,228.38,0.607,-1.099,6.655,6.772
30,1.0,sports ball,0.851,716.96,198.1,747.04,228.42,0.609,-1.1,6.655,6.773
31,1.033,sports ball,0.852,716.94,198.17,747.17,228.65,0.609,-1.099,6.655,6.773
32,1.067,sports ball,0.85,717.11,198.21,747.13,228.81,0.609,-1.096,6.646,6.763
33,1.1,sports ball,0.854,717.05,198.05,747.17,228.81,0.606,-1.093,6.623,6.74
34,1.133,sports ball,0.849,716.75,198.04,747.1,228.88,0.604,-1.091,6.613,6.729
35,1.167,sports ball,0.85,716.64,198.14,747.02,228.99,0.602,-1.087,6.593,6.709
36,1.2,sports ball,0.851,716.99,198.28,747.08,228.59,0.603,-1.088,6.593,6.71
37,1.233,sports ball,0.846,717.1,198.22,747.0,228.4,0.603,-1.089,6.593,6.71
38,1.267,sports ball,0.843,717.12,198.22,747.04,228.48,0.608,-1.098,6.647,6.765
39,1.3,sports ball,0.845,717.05,198.25,747.05,228.49,0.61,-1.1,6.664,6.782
40,1.333,sports ball,0.841,717.21,198.28,747.07,228.31,0.611,-1.102,6.67,6.788
41,1.367,sports ball,0.838,717.65,198.06,747.22,228.23,0.614,-1.105,6.681,6.8
42,1.4,sports ball,0.844,717.27,197.85,747.13,227.96,0.614,-1.109,6.695,6.814
43,1.433,sports ball,0.846,717.09,197.79,747.12,227.71,0.613,-1.11,6.696,6.815
44,1.467,sports ball,0.846,717.24,197.42,747.21,227.65,0.614,-1.112,6.696,6.816
45,1.5,sports ball,0.836,718.4,197.1,747.62,227.21,0.62,-1.115,6.696,6.817
46,1.533,sports ball,0.834,717.71,197.04,747.33,227.23,0.616,-1.115,6.696,6.816
47,1.567,sports ball,0.84,716.6,197.27,746.89,227.42,0.61,-1.113,6.696,6.815
48,1.6,sports ball,0.846,716.53,197.43,746.88,227.51,0.608,-1.108,6.669,6.788
49,1.633,sports ball,0.838,717.92,197.42,747.36,227.32,0.618,-1.116,6.712,6.832
50,1.667,sports ball,0.828,718.8,197.53,747.66,227.5,0.623,-1.115,6.712,6.832
51,1.7,sports ball,0.819,719.43,197.54,748.49,227.8,0.633,-1.122,6.764,6.886
52,1.733,sports ball,0.822,719.42,197.9,748.16,228.03,0.632,-1.12,6.767,6.888
53,1.767,sports ball,0.825,719.06,197.99,748.04,228.08,0.633,-1.124,6.795,6.916
54,1.8,sports ball,0.826,718.64,198.25,747.52,228.35,0.631,-1.125,6.808,6.929
55,1.833,sports ball,0.826,718.76,198.12,747.81,228.15,0.631,-1.124,6.795,6.916
56,1.867,sports ball,0.831,718.68,198.18,747.9,228.34,0.631,-1.123,6.795,6.916
57,1.9,sports ball,0.832,719.22,197.97,748.36,228.16,0.635,-1.124,6.795,6.916
58,1.933,sports ball,0.832,719.29,197.8,748.17,228.11,0.633,-1.123,6.781,6.903
59,1.967,sports ball,0.832,719.49,197.86,748.2,228.11,0.634,-1.122,6.781,6.903
60,2.0,sports ball,0.833,719.14,197.99,748.4,228.48,0.632,-1.118,6.767,6.888
61,2.033,sports ball,0.829,719.8,198.01,749.11,228.36,0.637,-1.119,6.767,6.888
62,2.067,sports ball,0.836,719.36,197.7,748.72,228.46,0.63,-1.113,6.728,6.849
63,2.1,sports ball,0.829,719.66,197.71,748.9,228.29,0.631,-1.112,6.719,6.84
64,2.133,sports ball,0.832,719.44,197.76,748.88,228.36,0.629,-1.11,6.709,6.829
